"","0","1","2","3","4","5","6","7","8","9"
"0",202,0,0,0,1,0,0,0,0,1
"1",0,179,1,0,3,0,2,3,10,3
"2",0,11,190,0,0,0,0,0,0,0
"3",0,0,0,185,0,1,0,0,2,5
"4",0,0,0,0,159,0,0,0,0,2
"5",0,0,0,1,0,171,0,0,0,0
"6",0,0,0,0,0,0,190,0,2,0
"7",0,1,1,1,7,1,0,178,0,3
"8",0,1,0,0,1,0,0,1,188,3
"9",0,3,0,1,4,8,0,0,2,183
